  5;   2.20
  5;   2.40
  5;   1.90
360;   2.40
350;   1.60
343;   1.70
345;   1.60
345;   2.00
343;   1.70
345;   1.50
335;   1.50
353;   1.70
355;   1.30
345;   1.80
343;   1.80
343;   1.70
290;   1.20
305;   1.30
340;   1.00
353;   1.20
 25;   1.10
 45;   0.80
298;   0.50
343;   0.50
323;   0.40
330;   0.60
355;   0.60
360;   1.00
343;   0.90
358;   0.80
350;   0.80
335;   0.70
  8;   0.90
340;   0.80
360;   0.90
360;   1.10
338;   1.00
330;   1.00
348;   1.10
350;   1.40
 10;   1.00
353;   1.00
345;   1.20
345;   1.10
360;   1.20
360;   1.40
  5;   1.40
353;   1.10
353;   1.10
  5;   1.20
360;   1.00
 10;   0.80
 25;   1.20
  8;   1.20
 25;   1.20
350;   0.80
 25;   0.60
 40;   0.80
 15;   1.10
 63;   0.80
 40;   0.70
 50;   0.90
 40;   0.80
 30;   0.90
 38;   0.70
 78;   0.60
 40;   0.40
 48;   0.60
 50;   0.70
 60;   0.60
 58;   0.60
 58;   0.60
 73;   0.60
 75;   0.60
 60;   0.70
 55;   0.60
 53;   0.50
 38;   0.30
 30;   0.20
 28;   0.20
173;   0.40
160;   0.70
170;   0.60
173;   0.80
183;   0.80
170;   0.80
170;   0.80
165;   1.00
170;   0.90
160;   1.20
160;   1.40
160;   1.40
160;   1.30
158;   1.30
155;   1.50
160;   1.40
155;   1.20
160;   1.30
160;   1.30
160;   1.20
170;   1.30
160;   1.30
170;   1.20
165;   1.10
158;   1.20
160;   1.20
165;   1.10
160;   1.00
160;   1.00
165;   0.90
160;   0.70
155;   0.70
153;   0.80
145;   0.80
145;   0.70
153;   0.60
148;   0.60
150;   0.70
143;   0.80
143;   0.80
130;   0.80
165;   0.60
158;   0.80
143;   1.00
148;   1.00
143;   1.10
143;   1.40
143;   1.10
145;   1.20
143;   1.10
143;   1.10
150;   1.00
145;   1.10
148;   1.10
153;   1.00
150;   1.10
145;   1.20
158;   1.00
150;   1.10
158;   1.10
140;   1.20
138;   1.20
153;   1.20
153;   1.20
155;   1.10
155;   1.10
158;   1.10
160;   1.20
158;   1.20
160;   1.20
158;   1.20
158;   1.30
165;   1.30
160;   1.40
165;   1.40
160;   1.40
170;   1.50
170;   1.60
158;   1.30
160;   1.50
160;   1.80
153;   1.80
158;   1.80
170;   1.80
160;   1.70
160;   1.80
165;   1.80
160;   1.70
160;   1.70
160;   1.90
160;   2.00
168;   2.00
170;   2.10
160;   1.80
173;   2.00
168;   2.20
160;   2.10
168;   2.20
180;   1.50
175;   2.00
178;   2.10
180;   2.30
170;   1.90
178;   1.90
200;   1.80
160;   1.90
168;   2.10
170;   1.90
173;   2.10
